Kode Posisi (Abbreviation),SAP Position ID,Position Title,Deskripsi Panjang Jabatan,Kode SATKER,Org. Unit ID,Org. Unit Title,Kode Posisi Superior,SAP Position ID (Superior),Position Superior Title,Kode SATKER Superior,Org. Unit ID Superior,OU Superior Title,
0100,10000000,Direktur Utama,Direktur Utama,1000,30000000,Direktorat Utama,TOP,-,-,-,-,-,
111000000N,10000006,Corporate Secretary Division Head,Corporate Secretary Division Head,1010,30000006,Corporate Secretary Division,100,10000006,Direktur Utama,1000,30000000,Direktorat Utama,
111001000N,10001394,Lead Public Relation Specialist,Lead Public Relation Specialist,1010,30000006,Corporate Secretary Division,111000000N,10001394,Corporate Secretary Division Head,1000,30000000,Direktorat Utama,
111002000N,10001395,Lead Capital Market Compliance Specialist,Lead Capital Market Compliance Specialist,1010,30000006,Corporate Secretary Division,111000000N,10001395,Corporate Secretary Division Head,1000,30000000,Direktorat Utama,
111003000N,10001396,Secretary Specialist,Secretary Specialist,1010,30000006,Corporate Secretary Division,111000000N,10001396,Corporate Secretary Division Head,1000,30000000,Direktorat Utama,
111004000N,10001964,Secretary Staff,Secretary Staff,1010,30000006,Corporate Secretary Division,111000000N,10001964,Corporate Secretary Division Head,1000,30000000,Direktorat Utama,
111005000N,10001397,Senior Capital Market Compliance Specialist,Senior Capital Market Compliance Specialist,1010,30000006,Corporate Secretary Division,111000000N,10001397,Corporate Secretary Division Head,1000,30000000,Direktorat Utama,
111006000N,10001398,Capital Market Compliance Specialist,Capital Market Compliance Specialist,1010,30000006,Corporate Secretary Division,111000000N,10001398,Corporate Secretary Division Head,1000,30000000,Direktorat Utama,
111007000N,10001965,Capital Market Compliance Staff,Capital Market Compliance Staff,1010,30000006,Corporate Secretary Division,111000000N,10001965,Corporate Secretary Division Head,1000,30000000,Direktorat Utama,
111007000N,10001966,Capital Market Compliance Staff,Capital Market Compliance Staff,1010,30000006,Corporate Secretary Division,111000000N,10001966,Corporate Secretary Division Head,1000,30000000,Direktorat Utama,
111100000N,10000040,Investor Relation Department Head,Investor Relation Department Head,1011,30000046,Investor Relation Department,111000000N,10000040,Corporate Secretary Division Head,1010,30000006,Corporate Secretary Division,
111101000N,10001399,Senior Investor Relation Specialist,Senior Investor Relation Specialist,1011,30000046,Investor Relation Department,111100000N,10001399,Investor Relation Department Head,1010,30000006,Corporate Secretary Division,
111102000N,10001400,Investor Relation Specialist,Investor Relation Specialist,1011,30000046,Investor Relation Department,111100000N,10001400,Investor Relation Department Head,1010,30000006,Corporate Secretary Division,
111103000N,10001967,Investor Relation Staff,Investor Relation Staff,1011,30000046,Investor Relation Department,111100000N,10001967,Investor Relation Department Head,1010,30000006,Corporate Secretary Division,
111200000N,10000041,Public Relations & Corporate Administration Department Head,Public Relations & Corporate Administration Department Head,1012,30000047,Public Relations & Corporate Administration Department,111000000N,10000041,Corporate Secretary Division Head,1010,30000006,Corporate Secretary Division,
111200100N,10001401,Senior Corporate Document Specialist,Senior Corporate Document Specialist,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10001401,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111200200N,10001402,Senior Public Relation Specialist,Senior Public Relation Specialist,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10001402,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111200300N,10001403,Public Relation Specialist,Public Relation Specialist,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10001403,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111200400N,10001968,Public Relation Staff,Public Relation Staff,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10001968,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111200500N,10002239,Public Relation Admin,Public Relation Admin,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10002239,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111200600N,10001404,Protocol Specialist,Protocol Specialist,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10001404,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
